Sample index	Sample ID 1	Title	Result	Unit of Result	Data markings of Result	Creation time	Method name	T1+	Nominal value	T1-	Is excluded	Method type	Determination type	Overall result state	Comment	FISH_ID	TANK	MUSCLE_TYPE	TEMPERATURE
6	6	Absorbance wavelength 1	-0.05084	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.99849	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.97961	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.95276	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10497	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00529	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05287	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.99547	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.96817	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.94775	A		16/09/2022 13:27	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.1096	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00355	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.0492	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.99686	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.96781	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.94871	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10476	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00608	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05348	A		16/09/2022 13:28	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.98152	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.94928	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.93489	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10918	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00543	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05247	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.97237	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.95706	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.92657	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10758	A		16/09/2022 13:29	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00376	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05154	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.97111	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.94736	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.92552	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10712	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00693	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05398	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.9604	A		16/09/2022 13:30	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.93342	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.91278	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10638	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00558	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05098	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	0.95255	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.94239	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.90889	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.1073	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00715	A		16/09/2022 13:31	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.05469	A		16/09/2022 13:32	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.29469	A		16/09/2022 13:42	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
2	2	Absorbance wavelength 1	1.07346	A		16/09/2022 13:42	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
3	3	Absorbance wavelength 1	1.08795	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
4	4	Absorbance wavelength 1	1.71331	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
5	5	Absorbance wavelength 1	0.02825	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
6	6	Absorbance wavelength 1	-0.01479	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
1	1	Absorbance wavelength 1	1.3783	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
2	2	Absorbance wavelength 1	1.05866	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
3	3	Absorbance wavelength 1	1.07311	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
4	4	Absorbance wavelength 1	1.75997	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
5	5	Absorbance wavelength 1	0.02788	A		16/09/2022 13:43	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
6	6	Absorbance wavelength 1	-0.01401	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
1	1	Absorbance wavelength 1	1.40848	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
2	2	Absorbance wavelength 1	1.04435	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
3	3	Absorbance wavelength 1	1.05361	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
4	4	Absorbance wavelength 1	1.75608	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
5	5	Absorbance wavelength 1	0.02493	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
6	6	Absorbance wavelength 1	-0.01313	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
1	1	Absorbance wavelength 1	1.38951	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
2	2	Absorbance wavelength 1	1.01901	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
3	3	Absorbance wavelength 1	1.03732	A		16/09/2022 13:44	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
4	4	Absorbance wavelength 1	1.7669	A		16/09/2022 13:45	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
5	5	Absorbance wavelength 1	0.0216	A		16/09/2022 13:45	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
6	6	Absorbance wavelength 1	-0.01583	A		16/09/2022 13:45	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
1	1	Absorbance wavelength 1	1.3672	A		16/09/2022 13:45	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
2	2	Absorbance wavelength 1	1.00616	A		16/09/2022 13:45	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	30
