Sample index	Sample ID 1	Title	Result	Unit of Result	Data markings of Result	Creation time	Method name	T1+	Nominal value	T1-	Is excluded	Method type	Determination type	Overall result state	Comment	FISH_ID	TANK	MUSCLE_TYPE	TEMPERATURE		
5	5	Absorbance wavelength 1	-0.00139	A		23/08/2023 14:01:54 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00912	A		23/08/2023 14:02:01 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.19498	A		23/08/2023 14:02:08 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.18957	A		23/08/2023 14:02:15 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.23095	A		23/08/2023 14:02:22 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06907	A		23/08/2023 14:02:29 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00004	A		23/08/2023 14:02:36 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00933	A		23/08/2023 14:02:43 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.20833	A		23/08/2023 14:02:51 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.2063	A		23/08/2023 14:02:58 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.20828	A		23/08/2023 14:03:05 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06886	A		23/08/2023 14:03:12 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00166	A		23/08/2023 14:03:19 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00964	A		23/08/2023 14:03:26 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.22848	A		23/08/2023 14:03:33 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.24301	A		23/08/2023 14:03:40 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.2178	A		23/08/2023 14:03:47 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06916	A		23/08/2023 14:03:54 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00091	A		23/08/2023 14:04:01 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00982	A		23/08/2023 14:04:08 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.21826	A		23/08/2023 14:04:15 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.22506	A		23/08/2023 14:04:21 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.21076	A		23/08/2023 14:04:27 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07356	A		23/08/2023 14:04:34 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00068	A		23/08/2023 14:04:41 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.01003	A		23/08/2023 14:04:48 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.25047	A		23/08/2023 14:04:56 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.24458	A		23/08/2023 14:05:01 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.25055	A		23/08/2023 14:05:08 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07273	A		23/08/2023 14:05:14 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00024	A		23/08/2023 14:05:22 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00883	A		23/08/2023 14:05:29 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.25661	A		23/08/2023 14:05:36 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.21581	A		23/08/2023 14:05:43 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.25833	A		23/08/2023 14:05:50 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07442	A		23/08/2023 14:05:57 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00171	A		23/08/2023 14:06:04 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00882	A		23/08/2023 14:06:11 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.25806	A		23/08/2023 14:06:19 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.24674	A		23/08/2023 14:06:24 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.24113	A		23/08/2023 14:06:31 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.0705	A		23/08/2023 14:06:38 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00484	A		23/08/2023 14:06:43 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00793	A		23/08/2023 14:06:50 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.27944	A		23/08/2023 14:06:58 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.24594	A		23/08/2023 14:07:05 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.29677	A		23/08/2023 14:07:12 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06892	A		23/08/2023 14:07:19 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00187	A		23/08/2023 14:07:26 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00972	A		23/08/2023 14:07:33 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.27524	A		23/08/2023 14:07:40 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.24694	A		23/08/2023 14:07:47 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.26418	A		23/08/2023 14:07:54 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06892	A		23/08/2023 14:08:01 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00499	A		23/08/2023 14:08:06 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00787	A		23/08/2023 14:08:13 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.07771	A		23/08/2023 14:18:22 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
2	2	Absorbance wavelength 1	0.12266	A		23/08/2023 14:18:29 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
3	3	Absorbance wavelength 1	0.14164	A		23/08/2023 14:18:36 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
4	4	Absorbance wavelength 1	0.06655	A		23/08/2023 14:18:43 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
5	5	Absorbance wavelength 1	-0.00253	A		23/08/2023 14:18:50 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
6	6	Absorbance wavelength 1	-0.0084	A		23/08/2023 14:18:55 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
1	1	Absorbance wavelength 1	0.13449	A		23/08/2023 14:19:02 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
2	2	Absorbance wavelength 1	0.15125	A		23/08/2023 14:19:09 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
3	3	Absorbance wavelength 1	0.19103	A		23/08/2023 14:19:15 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
4	4	Absorbance wavelength 1	0.06914	A		23/08/2023 14:19:21 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
5	5	Absorbance wavelength 1	-0.00102	A		23/08/2023 14:19:26 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
6	6	Absorbance wavelength 1	-0.00621	A		23/08/2023 14:19:31 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
1	1	Absorbance wavelength 1	0.11785	A		23/08/2023 14:19:38 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
2	2	Absorbance wavelength 1	0.18628	A		23/08/2023 14:19:45 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
3	3	Absorbance wavelength 1	0.14858	A		23/08/2023 14:19:52 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
4	4	Absorbance wavelength 1	0.06919	A		23/08/2023 14:19:59 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
5	5	Absorbance wavelength 1	-0.0039	A		23/08/2023 14:20:06 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
6	6	Absorbance wavelength 1	-0.00829	A		23/08/2023 14:20:13 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
1	1	Absorbance wavelength 1	0.12429	A		23/08/2023 14:20:20 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
2	2	Absorbance wavelength 1	0.17312	A		23/08/2023 14:20:25 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	30		
